"Row.names"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"X041017C1d150S1"	"X041017E1d150S2"	"X041917E1d14S1"	"X041917F1d14S2"
"89"	"Rasa3"	5187.4637276422	-1.0547658159543	0.234840400187678	-4.49141551075267	7.07513674201552e-06	0.000426826362290653	6777.84531248756	7328.87263813116	3269.76008515322	3373.37687479687
"90"	"Tardbp"	83.0082895418836	-2.51573825884542	0.562005810451827	-4.47635631528949	7.59277263358832e-06	0.000450504509592907	135.147906007885	163.975534944914	17.0456674172354	15.8640497974996
"91"	"Ccdc14"	39.5604973928885	3.0742898071097	0.687457768507993	4.47196896731839	7.75026763579789e-06	0.000454795925001766	0	1.85283090333236	52.1396885703672	104.249470097854
"92"	"Rab20"	309.043055748228	-1.99925739368646	0.452454143037506	-4.41869618048947	9.92981208484465e-06	0.0005763608318812	505.026385608414	518.792652933062	66.1772970316199	146.175887419817
"93"	"Map7d1"	100.31466257806	2.97813739998237	0.675252006370746	4.41040881313165	1.03175647164708e-05	0.00059242790952639	0	11.1169854199942	119.319671920648	270.8219929716
"94"	"Ctsq"	775.461078896519	-2.08217557540697	0.47247459111905	-4.40695778047104	1.04832611924189e-05	0.000595538454973586	2008.54683994614	599.39079722802	253.67963862121	240.227039790708
"95"	"Slc22a17"	217.540583715285	2.66603156693615	0.606252618184256	4.39755885083185	1.09475206320173e-05	0.000615365896578659	14.2260953692511	51.8792652933062	160.429810985745	643.627163212839
"96"	"1700021K19Rik"	263.870816060505	-1.8196379962113	0.414907492249228	-4.38564747613252	1.15641276718348e-05	0.000643254601745809	361.876300955324	484.515281221413	91.2444549981426	117.84722706714
"97"	"Piwil4"	695.665613143703	1.32967954339536	0.304464005487085	4.36727993927597	1.25803443610693e-05	0.000692567411217631	363.654562876481	401.137890571457	1055.82869354994	962.041305576938
"98"	"Pax4"	28.8561083050026	3.03179277191064	0.695401375517552	4.35977390705365	1.30196893446155e-05	0.00070944021530864	0	0	62.1665517569763	53.2578814630342
"99"	"Zfp407"	56.4659296941617	3.00639558838147	0.690541989070609	4.35367528110453	1.33873961763979e-05	0.000722108036181464	2.66739288173458	0	35.0940211531318	188.102304741781
"100"	"Trp53inp2"	1140.5472222811	-1.27348939218481	0.293244848220701	-4.34275111706773	1.40709507182738e-05	0.000751388768355819	1457.28564438766	1810.21579255572	691.853559876026	602.833892304983
"101"	"Arid5a"	1441.23234807183	-1.13714744097678	0.263480302188677	-4.31587269154746	1.58973585530262e-05	0.000824193152166599	2004.99031610382	1995.49888288896	913.447236300087	850.992956994441
"102"	"Foxp1"	341.6133047137	-1.76940100818279	0.409910515832528	-4.3165543206159	1.58483693280953e-05	0.000824193152166599	420.558944353485	666.092709747985	157.421752029763	122.379812723568
"103"	"Lgals3"	66.0582729818191	2.92311162068016	0.676863735794267	4.31861165859333	1.57013779718964e-05	0.000824193152166599	0	7.41132361332945	116.311612964665	140.510155349282
"104"	"Tdrd3"	35.1965802130382	2.97173539406347	0.689223483826015	4.31171523286872	1.61992980649818e-05	0.000831771650644259	1.77826192115639	0	81.2175918115335	57.7904671194627
"105"	"Cldn25"	5303.90414093646	1.09915386549145	0.25523871350489	4.30637598191149	1.65950899072777e-05	0.000832498547373208	2943.9126104744	3682.50142037307	6941.59738408947	7647.6051488089
"106"	"Eif2ak4"	89.1686450497065	2.46173524386197	0.571276898754777	4.30918045036981	1.63860631221484e-05	0.000832498547373208	23.117404975033	12.9698163233265	131.351907744579	189.235451155888
"107"	"Zfp874a"	226.359067701005	-2.2903653352326	0.531995910196004	-4.30523109545853	1.66811506683396e-05	0.000832498547373208	539.702493070963	251.058587401535	33.08864851581	81.586541815712
"108"	"Akr1c12"	53.7533677200341	-2.69262473419561	0.629162125145644	-4.27969934390487	1.87145951887393e-05	0.000916843470714384	84.4674412549283	116.728346909939	7.01880423062636	6.79887848464267
"109"	"Cd86"	175.284411392018	2.71086732515757	0.63322419727257	4.28105454092538	1.86009758198434e-05	0.000916843470714384	3.55652384231277	40.762279873312	255.685011258532	401.133830593917
"110"	"Fam13b"	1258.49504607584	1.22878266068613	0.288078823012046	4.26543904837722	1.99509476668641e-05	0.000968527823100492	794.883078756904	668.871956102983	1622.34646359335	1947.87868585012
"111"	"Msl1"	72.4591786498937	-2.51047592633974	0.59013261308071	-4.25408776043427	2.09902971885054e-05	0.00100980348636593	104.917453348227	158.417042234917	14.0376084612527	12.4646105551782
"112"	"Ap5b1"	135.706099387031	-2.07992378409501	0.490248752993487	-4.24258862749752	2.20956237079153e-05	0.00104527689244256	212.502299578188	245.500094691538	36.0967074717927	48.7252958066058
"113"	"Dnah8"	547.251394391996	1.34391853934073	0.316786355601322	4.2423498221371	2.21191552146086e-05	0.00104527689244256	301.415395636007	293.67369817818	813.178604433996	780.7378793198
"114"	"Cyp2c55"	344.941330586381	1.51886264950553	0.358821788986488	4.23291643965002	2.30680230588878e-05	0.00108055476433737	161.821834825231	174.166104913242	521.396885703672	522.380496903378
"115"	"Adam19"	2513.42516903082	-1.16196732747324	0.274758624439841	-4.22904769538055	2.34682593473392e-05	0.0010866273011944	3188.4236246334	3832.58072354299	1686.51838798765	1346.17793995925
"116"	"Vim"	228.744885618721	-2.02653828172499	0.479342739887646	-4.22774376889488	2.36046380034739e-05	0.0010866273011944	275.63059777924	489.147358479744	56.1504338450108	94.0511523708903
"117"	"Klf6"	12242.4563048428	-1.61369996284189	0.383052250209117	-4.21274111289239	2.52290171767844e-05	0.00115147821986349	19096.7547712984	18699.6958918819	7999.43145027672	3173.94310591402
"118"	"Fxr2"	922.627002720712	1.43490557559657	0.340843277734904	4.20986907863441	2.55518711841893e-05	0.00115633044172518	505.915516568992	441.900170444769	1058.83675250592	1683.85557136317
"119"	"Ern1"	180.500086376955	-1.88483369245192	0.448671647718298	-4.20091998689279	2.65832536075054e-05	0.00119289558205108	332.534979256244	255.690664659866	69.1853559876026	64.5893456041054
"120"	"Nlrp3"	226.958789012786	-2.10497433183278	0.501886250470382	-4.19412631818453	2.73925311794445e-05	0.00121896763748528	225.839263986861	544.732285579715	77.2068465368899	60.0567599476769
"121"	"Strada"	118.261035364038	2.23095838783141	0.532688785843501	4.18810841737307	2.81289141344272e-05	0.00124139174775076	38.2326313048623	24.0868017433207	161.432497304406	249.292211103565
"122"	"Polr2h"	1046.88239670683	1.24200778225072	0.297040557093234	4.18127340725691	2.89881043022657e-05	0.00126882358175491	554.817719400792	652.196477972992	1338.58623541231	1641.9291540412
"123"	"Smc6"	1539.50113385784	1.34433456868776	0.321872915829209	4.17660046116177	2.95898091042083e-05	0.00128463073671929	879.350520011833	792.085211174585	2757.3873763175	1729.18142792745
"124"	"Pcx"	129.191196655089	-2.24012353714585	0.537354775081586	-4.16879804744591	3.06210152760195e-05	0.00131867920624149	145.817477534824	303.864268146508	33.08864851581	33.9943924232133
"125"	"Socs1"	1463.1696061965	-1.32526591890508	0.318764497397637	-4.15750790857959	3.21738140817096e-05	0.00137446533757063	2264.61655659266	1981.60265111396	629.68700811905	976.77220896033
"126"	"Sptb"	30.2972647294318	2.8807552863285	0.694383068388795	4.14865427668453	3.34435430554091e-05	0.00141736920568163	0.889130960578193	0	42.1128253837581	78.1871025733907
"127"	"Fam117b"	103.884470640793	-2.29227963414155	0.553332788572954	-4.14267811609961	3.43273578263801e-05	0.00144337079364465	236.508835513799	128.771747781599	23.0617853292009	27.1955139385707
"128"	"Gimap8"	147.544362727454	-1.9821016164692	0.479670916687305	-4.13221137140845	3.5928978528933e-05	0.00149891207300392	208.945775735875	281.630297306519	53.1423748890281	46.4590029783916
"129"	"Plxnc1"	1285.85302474206	1.26724639318084	0.308209808735569	4.11163550692861	3.92866184374392e-05	0.00162628327485214	748.648268806838	710.560651427961	1504.02947799136	2180.17370074208
"130"	"Exoc3"	95.5385161537113	-2.40614627607198	0.59281416457141	-4.05885422426026	4.93140851354189e-05	0.00202567088171644	97.8044056636012	246.426510143204	22.05909901054	15.8640497974996
"131"	"Mast1"	47.3900094750104	-2.82446995587312	0.696294475892783	-4.05643022264626	4.98284395336911e-05	0.00203117455809092	168.045751549278	20.381139936656	0	1.13314641410711
"132"	"Aph1b"	779.115628341109	1.57567195796947	0.389114002814761	4.04938384784773	5.13526573833533e-05	0.00207744841232657	413.44589666886	311.275591759837	821.200094983284	1570.54092995246
"133"	"Psors1c2"	462.328352673854	-1.41689928699738	0.351287460522763	-4.03344680988283	5.49646265117002e-05	0.00220685041783819	653.511256024972	717.971975041291	272.730678675767	205.099500953387
"134"	"Fer1l5"	461.992699911216	-1.36419434154872	0.338634061313941	-4.02852074671839	5.61289082415645e-05	0.0022367788806713	641.952553537455	712.413482331294	264.70918812648	228.895575649637
"135"	"Asb13"	1199.64820095821	-1.28609321312428	0.319876113649102	-4.02059784474904	5.80506317819137e-05	0.00227934098320161	1389.71169138372	2064.98004176392	722.936835754515	620.964234930697
"136"	"Pparg"	45.4213982154036	-2.66895804114734	0.663688170261592	-4.021403666266	5.78523670685755e-05	0.00227934098320161	96.915274703023	75.9660670366269	2.00537263732182	6.79887848464267
"137"	"Polr1b"	61.5337461304378	2.41532863504858	0.601218814471544	4.01738697610718	5.88470442456914e-05	0.00229374610417512	13.3369644086729	10.190569968328	109.292808734039	113.314641410711
"138"	"Klc4"	93.5628024475766	2.42532962610573	0.605443442781356	4.00587314145145	6.17888063467532e-05	0.00239095815863523	26.6739288173458	8.33773906499564	127.341162469935	211.89837943803
"139"	"Ago3"	1399.33135857833	1.1619965943581	0.29044248992653	4.00078030818439	6.31339516542173e-05	0.00242543382614044	862.457031760847	820.804090176237	1679.49958375702	2234.56472861922
"140"	"Ptprcap"	19787.2784911384	1.10543219148711	0.277664766753944	3.98117558957957	6.8575266653138e-05	0.00261565659948398	12080.6223613759	12470.4783948785	21923.7363575208	32674.2768507786
"141"	"Tfpt"	243.201336849658	1.72594396536938	0.434112886701517	3.97579527869693	7.01444491703872e-05	0.00265653445794232	122.700072559791	78.7453133916254	429.149744386869	342.210217060348
"142"	"Ube2l3"	4028.25272795127	0.982840666126604	0.24750041503167	3.97106673942684	7.15515297455974e-05	0.0026907406256443	2845.21907385022	2486.49907227203	5674.20187730208	5107.09088838075
"143"	"Tfdp1"	1819.36740609321	1.16708260439587	0.294439723002536	3.9637403285623	7.37845102406211e-05	0.0027553096831113	1270.56814266624	910.666388987857	2722.29335516437	2373.9417375544
